,College Name,GPA,Verbal,Quants,Writing
347,University Of Arizona,4.0,160.0,156.0,4.0
348,University Of Georgia,3.72,161.0,158.0,4.0
349,"University Of California, San Diego (UCSD)",3.88,153.0,160.0,3.5
350,Emory University,3.13,157.0,156.0,3.5
351,University Of Chicago (UChicago),3.95,164.0,167.0,4.5
352,University Of South Carolina,3.82,159.0,157.0,5.0
353,University Of Montevallo,3.7,149.0,148.0,3.5
354,Tufts University,3.87,162.0,151.0,4.0
355,University Of South Carolina,3.56,155.0,149.0,4.5
356,Drexel University,3.19,158.0,151.0,3.5
357,"University Of Massachusetts, Amherst (UMass)",3.44,162.0,163.0,4.5
358,University Of Southern California (USC),3.9,168.0,153.0,4.0
359,University Of Southern California (USC),3.83,156.0,164.0,2.5
360,North Caroline State University (NCSU),3.0,146.0,170.0,3.0
361,Arizona State University (ASU),3.61,144.0,158.0,3.5
362,SUNY Binghamton,3.7,146.0,162.0,2.5
363,University Of British Columbia (UBC),3.6,152.0,158.0,4.0
364,Carnegie Mellon University (CMU),3.8,157.0,165.0,4.0
365,"University Of Maryland, College Park (UMD)",3.47,154.0,170.0,3.5
366,"University Of California, San Diego (UCSD)",3.3,170.0,157.0,3.5
367,Towson University,3.63,146.0,150.0,5.0
368,Columbia University,3.43,158.0,169.0,3.5
369,"University Of Massachusetts, Amherst (UMass)",3.5,170.0,152.0,3.0
370,Alabama At Birmingham Uab,2.8,138.0,167.0,3.0
371,"University Of California, Irvine (UCI)",3.42,154.0,170.0,3.5
372,"University Of Texas, Arlington",2.9,164.0,155.0,4.0
373,"University Of California, Santa Barbara (UCSB)",3.4,168.0,160.0,3.5
374,"California State University, Chico",3.78,155.0,152.0,4.5
375,Adelphi University,3.8,143.0,141.0,3.0
376,Chatham University,3.63,160.0,153.0,4.0
377,University Of Central Florida (UCF),3.4,153.0,147.0,3.5
378,"University Of Illinois, Urbana-Champaign (UIUC)",2.9,161.0,160.0,5.0
379,Pennsylvania State University (Penn State),3.6,162.0,170.0,5.0
380,Vanderbilt University,2.89,163.0,155.0,5.5
381,"University Of Texas, Arlington",3.57,155.0,163.0,4.5
382,Columbia University,3.56,152.0,169.0,4.0
383,Columbia University,3.51,162.0,168.0,4.0
384,Columbia University,3.9,152.0,168.0,4.0
385,"University Of California, Santa Cruz (UCSC)",3.12,160.0,161.0,4.0
386,Columbia University,3.48,164.0,145.0,5.5
387,"University Of Alabama, Birmingham",3.49,162.0,150.0,4.0
388,Touro University,3.49,163.0,150.0,4.0
389,Columbia University,3.7,168.0,167.0,5.0
390,University Of Oklahoma,3.55,151.0,167.0,3.0
391,"University Of Massachusetts, Amherst (UMass)",3.4,146.0,144.0,3.0
392,Texas Tech University,3.48,159.0,154.0,4.5
393,"University Of Maryland, College Park (UMD)",3.6,155.0,155.0,4.0
394,Stanford University,3.75,157.0,152.0,4.5
395,Northeastern University,3.61,160.0,155.0,5.0
396,University Of Tulsa,3.44,149.0,165.0,3.5
397,"University Of California, Los Angeles (UCLA)",3.81,170.0,155.0,3.0
398,CSUN,3.27,156.0,158.0,4.0
399,University Of Central Florida (UCF),3.72,155.0,154.0,4.0
400,"University Of California, Los Angeles (UCLA)",3.88,157.0,149.0,5.0
401,University Of Tulsa,3.15,147.0,167.0,3.0
402,Columbia University,3.7,162.0,161.0,4.0
403,"University Of California, Irvine (UCI)",3.37,153.0,164.0,3.5
404,"University Of Alabama, Huntsville",3.0,151.0,157.0,2.5
405,"California State University, Northridge",3.86,160.0,156.0,4.0
406,Columbia University,3.97,164.0,169.0,4.5
407,"California State University, Los Angeles",3.54,164.0,158.0,5.0
408,"University Of Minnesota, Twin Cities (UMN)",3.2,154.0,149.0,4.5
409,Eastern Michigan University,3.6,149.0,146.0,3.5
410,University Of Chicago (UChicago),3.3,164.0,166.0,5.5
411,"University Of Hawaii, Manoa",3.7,152.0,151.0,4.5
412,McGill Unviversity,3.71,150.0,170.0,4.0
413,"University Of Hawaii, Manoa",3.56,155.0,147.0,4.0
414,Northern Arizona University,3.56,155.0,147.0,4.0
415,University Of Oxford,3.53,170.0,164.0,5.5
416,"University Of Illinois, Chicago (UIC)",2.6,158.0,159.0,3.5
417,Indiana University Of Pennsylvania,3.88,149.0,147.0,3.5
418,Iowa State University (ISU),3.7,159.0,170.0,4.0
419,"University Of Wisconsin, Madison",3.6,159.0,159.0,4.0
420,Baylor University,3.2,159.0,165.0,3.5
421,University Of New Mexico,3.0,147.0,169.0,3.5
422,"Texas A&M University, College Station (TAMU)",3.99,166.0,168.0,4.5
423,Univeristy Of Minnesota Duluth,3.08,159.0,164.0,4.0
424,"University Of Michigan, Ann Arbor (UMich)",3.664,169.0,159.0,4.0
425,Purdue University,3.3,154.0,166.0,3.0
426,Armstrong State University,3.72,161.0,158.0,4.0
427,Cornell University,3.7,170.0,156.0,3.5
428,Columbia University,3.5,152.0,162.0,3.5
429,Armstrong State University,3.75,157.0,152.0,4.5
430,Northeastern University,3.45,146.0,167.0,3.5
431,University Of Southern California (USC),3.31,147.0,167.0,3.0
432,Eastern Michigan University,3.6,152.0,146.0,4.5
433,Iowa State University (ISU),3.7,159.0,170.0,4.0
434,University Of Cambridge,3.9,161.0,166.0,5.0
435,"University Of California, San Diego (UCSD)",4.0,167.0,167.0,5.0
436,Bowling Green State University,3.78,148.0,141.0,4.0
437,University Of Pennsylvania (UPenn),3.63,170.0,159.0,3.0
438,SUNY Buffalo,3.67,148.0,156.0,4.0
439,Rutgers University,3.6,163.0,151.0,4.0
440,"University Of North Carolina, Greensboro",3.47,166.0,158.0,5.5
441,"University Of Pennsylvania, Fels Institute",3.51,156.0,155.0,4.0
442,Northeastern University,3.45,161.0,165.0,4.5
443,"University Of Illinois, Urbana-Champaign (UIUC)",3.67,165.0,160.0,3.5
