,College Name,GPA,Verbal,Quants,Writing,Cluster
308,Sacramento State University,3.0400000000000005,157.66666666666666,151.33333333333334,4.5,4
309,Sacred Heart University,3.624,154.0,153.4,4.5,4
310,Saint Louis University,3.7099999999999995,155.0909090909091,154.04545454545453,4.5227272727272725,4
311,Saint Xavier University,3.7725000000000004,152.625,153.5,4.5,4
312,Salem State University,3.7,153.0,153.0,4.5,4
313,Salus University,3.38,157.0,150.0,4.25,4
314,Sam Houston State University,3.21,152.5,154.5,3.75,4
315,San Diego State University (SDSU),3.5754999999999986,157.48333333333332,156.0,4.45,4
316,San Francisco State University (SFSU),3.543125,157.9375,154.375,4.109375,4
317,San Jose State University (SJSU),3.414166666666667,156.5,155.0,4.25,4
318,Santa Clara University,3.046666666666667,153.16666666666666,160.33333333333334,3.8333333333333335,3
319,"Sauder School Of Business, UBC",3.0,162.0,165.0,4.0,0
320,School Of Education University Of Pennsylvania,3.62,160.0,161.0,3.5,0
321,Seattle University,3.5,155.66666666666666,154.66666666666666,4.333333333333333,4
322,Sen Diego State University California,4.0,143.0,161.0,2.3,3
323,Seton Hall University,3.716428571428572,153.53571428571428,151.35714285714286,4.285714285714286,1
324,Shanghai Normal University,3.4,150.0,165.0,3.5,3
325,Shenandoah University,3.55,147.0,150.0,3.5,1
326,Shenzhen University,3.65,151.0,160.0,3.0,3
327,Simon Fraser University (SFU),3.476923076923077,157.84615384615384,165.76923076923077,4.0,0
328,South Carolina State University,3.2874999999999996,146.75,145.25,4.25,1
329,Southeastern Louisiana University,3.3975,158.5,148.25,3.625,4
330,Southeastern University In Louisiana,3.85,148.0,152.0,4.0,1
331,Southern CT State University,3.825,153.5,147.5,4.25,1
332,Southern Connecticut State University,3.604,157.05,151.35,4.6,4
333,Southern Illinois University,3.7354285714285718,152.31428571428572,150.54285714285714,3.9,1
334,"Southern Illinois University, Edwardsville (SIUE)",3.14,145.0,165.0,3.0,3
335,Southern Methodist University,3.7166666666666663,160.33333333333334,158.66666666666666,5.0,0
336,Southern University And A&M College,3.2,146.0,147.0,3.0,1
337,Spalding University,3.62,153.0,149.0,4.0,1
338,St Bonaventure University,4.0,165.0,151.0,5.0,2
339,St. Ambrose University,3.535,149.0,150.0,4.5,1
340,St. Cloud State University,3.731666666666667,157.33333333333334,149.33333333333334,4.416666666666667,4
341,St. Cloud University,3.82,155.0,150.0,4.0,1
342,St. Johns University,3.6411764705882352,153.11764705882354,150.8235294117647,4.4411764705882355,1
343,St. Louis University,3.7950000000000004,155.25,153.375,4.75,4
344,St. Xavier University,3.6325,156.33333333333334,152.0,4.583333333333333,4
345,Stanford University,3.801275720164612,161.65843621399176,164.40740740740742,4.3580246913580245,0
346,State University Of New York - New Paltz,3.65,155.0,147.0,4.0,1
347,Stephen F. Austin State University,3.4,166.0,153.0,4.5,2
348,Stephen F. Austin University,3.1,149.0,152.0,3.5,1
349,Stockton University,3.87,150.0,145.0,4.0,1
350,Suffolk University,3.5,154.0,155.0,4.25,4
351,Syracuse University,3.538415841584159,157.1089108910891,155.5742574257426,4.271287128712871,4
352,TU Delft,3.5666666666666664,156.83333333333334,165.83333333333334,3.6666666666666665,0
353,TU Munich,3.4933333333333336,154.33333333333334,160.16666666666666,3.5833333333333335,3
354,"Taubman College, University Of Michigan",3.3,151.0,153.0,3.5,1
355,Teachers College Columbia Universiy,3.83,153.0,170.0,3.0,3
356,Technical University Of Denmark,3.0666666666666664,157.66666666666666,165.33333333333334,3.3333333333333335,0
357,Temple University,3.6838888888888897,156.37037037037038,154.3148148148148,4.305555555555555,4
358,Tennessee State University,3.7825,152.5,148.25,4.125,1
359,Texas A&M University - Spring 2013,3.31,140.0,162.0,4.5,3
360,Texas A&M University Bush School,3.563333333333334,164.66666666666666,154.66666666666666,4.333333333333333,2
361,"Texas A&M University, College Station (TAMU)",3.5610447761194033,157.77611940298507,162.0597014925373,3.873134328358209,0
362,"Texas A&M University, Kingsville (TAMU)",3.395,146.5,152.5,3.0,1
363,Texas Christian University,3.6759999999999997,155.0,154.0,4.6,4
364,Texas State University,3.658888888888889,155.77777777777777,151.22222222222223,4.166666666666667,4
365,Texas Tech University,3.5741379310344827,154.89655172413794,157.24137931034483,3.7413793103448274,4
366,Texas Womans University,3.7099999999999995,154.2,150.4,4.5,1
367,The Catholic University Of America,3.96,156.5,163.0,4.0,0
368,The Chinese University Of Hong Kong,3.66,154.0,157.5,3.0,4
369,"The La Follette School Of Public Affairs, University Of Wisconsin-Madison",3.4,150.0,166.0,3.5,3
370,The New School,3.372,161.8,156.6,4.1,2
371,"The Ohio State University, Fisher College Of Business",3.87,154.0,165.0,4.0,3
372,The Pennsylvania State University(PSU-Park),3.88,168.0,159.0,4.0,2
373,"The University Of Texas School Of Public Health,houston",3.89,162.0,166.0,3.5,0
374,Thomas Jefferson University,3.3325,161.5,157.0,4.25,2
375,Tilburg University,3.643333333333333,157.33333333333334,163.0,4.166666666666667,0
376,Touro University,3.49,163.0,150.0,4.0,2
377,Towson University,3.7602857142857147,156.2,152.97142857142856,4.457142857142857,4
378,Trent University,3.11,161.0,155.0,5.5,2
379,Truman State University,3.4499999999999997,154.66666666666666,149.0,4.166666666666667,1
380,Tsinghua University,2.766,156.0,165.5,4.25,0
381,Tufts University,3.6217647058823528,163.0735294117647,159.2941176470588,4.625,0
382,Tulane University,3.3246153846153845,157.30769230769232,154.0,3.8846153846153846,4
383,U Of Penn,3.81,159.0,167.0,3.5,0
384,UBC Okanagan,3.9,165.0,161.0,5.5,0
