,College Name,Tier
559,University Of Oregon,4
560,University Of Ottawa,1
561,University Of Oxford,1
562,University Of Pennsylvania (PennPlanning) (PennDesign),3
563,University Of Pennsylvania (UPenn),1
564,University Of Pennsylvania Fels Institute Of Government,1
565,"University Of Pennsylvania, Fels Institute",4
566,University Of Phoenix,5
567,University Of Pittsburgh,4
568,University Of Puget Sound,4
569,University Of Redlands,4
570,University Of Rhode Island,4
571,University Of Rochester,1
572,University Of San Diego,5
573,University Of San Francisco,4
574,University Of Saskatchewan,1
575,University Of Sheffield,4
576,University Of South Alabama,5
577,University Of South Carolina,4
578,University Of South Dakota,5
579,University Of South FL,3
580,University Of South Florida (USF),4
581,University Of South Florida- St. Petersburg,4
582,"University Of Souther California, Sol Price School Of Public Policy",4
583,University Of Southern California (USC),1
584,University Of Southern California At San Diego,5
585,University Of Southern California Keck School Of Medicine,3
586,University Of Southern California Price School Of Public Policy,1
587,University Of Southern California Sol Price School Of Public Policy,3
588,"University Of Southern California, Sol Price School Of Public Policy",4
589,University Of Southern Maine,3
590,University Of Southern Mississippi,5
591,University Of St Andrews,1
592,University Of St. Thomas,4
593,University Of St. Thomas (Center For Thomistic Studies),1
594,University Of Strathclyde,4
595,University Of Stuttgart,2
596,University Of Sydney,2
597,University Of Syracuse,5
598,University Of Tehran,2
599,University Of Tennessee,4
600,"University Of Tennessee, Knoxville",4
601,University Of Texas (UT),1
602,"University Of Texas - Austin, LBJ School Of Public Affairs",4
603,University Of Texas - Houston Health Science Center,4
604,University Of Texas At Austin LBJ School Of Public Affairs,1
605,University Of Texas At Austin School Of Architecture,1
606,"University Of Texas At Austin, LBJ School Of International Affairs",1
607,University Of Texas Austin LBJ School,1
608,University Of Texas Health Houston,4
609,University Of Texas Health Science Center,4
610,University Of Texas Houston Health Sciences Center,4
611,University Of Texas School Of Public Health,1
612,University Of Texas School Of Public Health In Houston,2
613,"University Of Texas, Arlington",2
614,"University Of Texas, Austin (UT Austin)",1
615,"University Of Texas, Dallas (UT Dallas)",4
616,"University Of Texas, Houston (UT Houston)",4
617,"University Of Texas, San Antonio (UTSA)",4
618,University Of Texas-LBJ School,3
619,University Of Texas-Pan American (UTPA),5
620,University Of The District Of Columbia,5
621,University Of The Pacific,4
622,University Of Tokyo,1
623,University Of Toledo,4
624,University Of Toronto (UofT),1
625,University Of Tulsa,4
626,University Of Utah (UoU),4
627,University Of Vermont,4
628,University Of Virginia (UVA),4
629,University Of Virginia - Batten School Of Leadership & Public Policy,1
630,University Of Virginia Batten School Of Public Policy,3
631,"University Of Virginia, Batten School Of Leadership And Public Policy",1
632,University Of VirginiaUVA- Batten School,3
633,University Of WI: River Falls,5
634,University Of Warwick,1
635,University Of Washington - Evans School Of Public Affairs,4
636,University Of Washington School Of Marine And Environmental Affairs (SMEA),1
637,University Of Washington The Henry M. Jackson School Of International Studies,2
638,"University Of Washington, Evans School Of Public Affairs",4
639,"University Of Washington, Jackson School Of International Studies",1
640,"University Of Washington, Seattle (UW)",1
641,University Of Waterloo,1
642,University Of West Florida,4
643,University Of West Georgia,5
644,University Of Western Ontario (UWO),4
645,University Of Wisconsin - River Falls,3
646,University Of Wisconsin Madison--LaFollette School Of Public Affairs,1
647,University Of Wisconsin River Falls,4
648,"University Of Wisconsin, Eau Claire",4
649,"University Of Wisconsin, La Crosse",5
650,"University Of Wisconsin, Madison",1
651,"University Of Wisconsin, Milwaukee",4
652,"University Of Wisconsin, Whitewater ",5
653,University Of Wisconsin- Stevens Point,5
654,University Of Wisconsin-River Falls,4
655,University Of Wisconsin-Stevens Point,5
656,University Of Wisonconsin- Stevens Point,5
657,University Of Wyoming,4
658,University of Central Florida (UCF),1
659,University of Pennsylvania (Upenn),4
660,Unversity Of Nebraska Kearney,4
661,Uppsala University,2
662,Utah State University,4
663,Valdosta State University,5
664,Vanderbilt University,3
665,Villanova University,3
666,Virginia Commonwealth University (VCU),4
667,Virginia Politech Institute And State University_Blacks Burgh,2
668,Virginia Tech,1
669,Visvesvaraya Technological University (VTU),1
670,Wake Forest University,3
671,Washington State University (WSU),4
672,"Washington University, St. Louis (WUSTL)",4
673,Wayne State University,4
674,West Chester University,4
675,West Texas A&M University,5
676,West Virginia University,4
677,Western Carolina University,4
678,Western Illinois University,4
679,Western Kentucky University,4
680,Western Michigan University,4
681,Western Ontario,4
682,Western University,3
683,Western Washington University,4
684,Wichita State University,4
685,Wilfrid Laurier University,1
686,William Paterson University,4
687,Winthrop University,5
688,Woodbury University,2
689,Worcester State University,4
690,Wright State University,4
691,Yale Univ,1
692,Yale University,1
693,York University,4
694,Youngstown State University,3
695,Zhejiang University Of Technology,3
